id_profissional,nome,rg,cpf,data_nascimento,registro_ordem,id_cargo
1,Ana Paula Silva,123456789,123.456.789-00,1985-03-15,CRF-12345,1
2,Carlos Eduardo Santos,234567890,234.567.890-11,1978-07-22,CRM-23456,2
3,Fernanda Oliveira,345678901,345.678.901-22,1990-11-05,CRP-34567,3
4,João Pedro Costa,456789012,456.789.012-33,1983-09-14,CRN-45678,4
5,Mariana Almeida,567890123,567.890.123-44,1987-06-30,CREFITO-56789,5
6,Lucas Martins,678901234,678.901.234-55,1995-12-12,CRP-67890,6
7,Patrícia Lima,789012345,789.012.345-66,1982-04-25,CRF-78901,7
8,Ricardo Ferreira,890123456,890.123.456-77,1991-01-17,CRM-89012,8
9,Sofia Costa,901234567,901.234.567-88,1988-10-09,CRN-90123,9
10,Thiago Santos,012345678,012.345.678-99,1994-08-20,CRF-01234,10
11,Vanessa Oliveira,123456780,123.456.780-00,1986-02-14,CRP-12345,11
12,Wellington Silva,234567891,234.567.891-11,1979-05-19,CREFITO-23456,12
13,Yasmin Rocha,345678902,345.678.902-22,1992-07-29,CRF-34567,13
14,Zeca Pereira,456789013,456.789.013-33,1984-11-03,CRM-45678,14
15,Alice Miranda,567890124,567.890.124-44,1989-12-18,CRP-56789,15
16,Bruno Azevedo,678901235,678.901.235-55,1993-04-09,CRN-67890,16
17,Claudia Fernandes,789012346,789.012.346-66,1981-06-26,CRF-78901,17
18,Daniel Costa,890123457,890.123.457-77,1985-10-12,CRM-89012,18
19,Eliane Souza,901234568,901.234.568-88,1990-03-21,CRP-90123,19
20,Felipe Nunes,012345679,012.345.679-99,1987-09-07,CREFITO-01234,20
